"mean_prob","label","id"
0.999998459,"clinically
unexplored",1
0.999974058,"Known IO
targets",2
0.999836438,"Known IO
targets",3
0.999757571,"clinically
unexplored",4
0.999672336,"clinically
unexplored",5
0.999562429,"Known IO
targets",6
0.999361258,"clinically
unexplored",7
0.999344457,"clinically
unexplored",8
0.999251829,"clinically
unexplored",9
0.999229138,"clinically
unexplored",10
0.999211179,"Known IO
targets",11
0.999132614,"Known IO
targets",12
0.9990122594,"clinically
unexplored",13
0.9989752324,"clinically
unexplored",14
0.998863905,"clinically
unexplored",15
0.99850288,"Known IO
targets",16
0.997988434,"Known IO
targets",17
0.997843885,"clinically
unexplored",18
0.997808132,"Known IO
targets",19
0.997794317,"Known IO
targets",20
0.997462544,"clinically
unexplored",21
0.996874609,"clinically
unexplored",22
0.996671729,"Known IO
targets",23
0.996303717,"Known IO
targets",24
0.996127449,"Known IO
targets",25
0.996106763,"clinically
unexplored",26
0.99607045,"clinically
unexplored",27
0.995628999,"Known IO
targets",28
0.9935477448,"Known IO
targets",29
0.9932533635,"Known IO
targets",30
0.993116493,"clinically
unexplored",31
0.992713654,"Known IO
targets",32
0.992622276,"Known IO
targets",33
0.992477048,"Known IO
targets",34
0.992204058,"Known IO
targets",35
0.992199535,"clinically
unexplored",36
0.992054109,"clinically
unexplored",37
0.991846699,"Known IO
targets",38
0.991685729,"Known IO
targets",39
0.9914072975,"Known IO
targets",40
0.991221562,"clinically
unexplored",41
0.9906672029,"Known IO
targets",42
0.9905567304,"Known IO
targets",43
0.9905475634,"clinically
unexplored",44
0.990518896,"clinically
unexplored",45
0.990383913,"Known IO
targets",46
0.990226225,"Known IO
targets",47
0.98973838,"clinically
unexplored",48
0.989722844,"Known IO
targets",49
0.989704751,"clinically
unexplored",50
0.989703037,"Known IO
targets",51
0.989538972,"clinically
unexplored",52
0.989302408,"Known IO
targets",53
0.989259543,"Known IO
targets",54
0.98923483,"clinically
unexplored",55
0.988879665,"Known IO
targets",56
0.9878040393,"Known IO
targets",57
0.9876621397,"Known IO
targets",58
0.987455667,"clinically
unexplored",59
0.986305472,"clinically
unexplored",60
0.985671043,"clinically
unexplored",61
0.984908627,"clinically
unexplored",62
0.984013958,"Known IO
targets",63
0.983579667,"Known IO
targets",64
0.9832755,"clinically
unexplored",65
0.982948698,"clinically
unexplored",66
0.982690247,"clinically
unexplored",67
0.9824286,"Known IO
targets",68
0.982419619,"clinically
unexplored",69
0.982393015,"Known IO
targets",70
0.981981241,"clinically
unexplored",71
0.981948836,"clinically
unexplored",72
0.981769127,"Known IO
targets",73
0.9816556686,"clinically
unexplored",74
0.981650297,"clinically
unexplored",75
0.981257355,"Known IO
targets",76
0.9808534234,"Known IO
targets",77
0.9803879124,"Known IO
targets",78
0.980342888,"clinically
unexplored",79
0.980292124,"clinically
unexplored",80
0.980253517,"Known IO
targets",81
0.980188329,"clinically
unexplored",82
0.9800365,"clinically
unexplored",83
0.979776486,"clinically
unexplored",84
0.979186085,"Known IO
targets",85
0.979123775,"Known IO
targets",86
0.978615385,"clinically
unexplored",87
0.978542495,"Known IO
targets",88
0.978300862,"Known IO
targets",89
0.978129292,"clinically
unexplored",90
0.9780853901,"clinically
unexplored",91
0.9778617616,"clinically
unexplored",92
0.9776049059,"Known IO
targets",93
0.977213456,"clinically
unexplored",94
0.977104035,"clinically
unexplored",95
0.97668954,"Known IO
targets",96
0.97657659,"Known IO
targets",97
0.976382674,"clinically
unexplored",98
0.975963671,"clinically
unexplored",99
0.9759611882,"Known IO
targets",100
0.975719554,"clinically
unexplored",101
0.97512422,"Known IO
targets",102
0.9749168017,"Known IO
targets",103
0.974551823,"Known IO
targets",104
0.9743737565,"Known IO
targets",105
0.9736382991,"Known IO
targets",106
0.973392144,"Known IO
targets",107
0.973388273,"Known IO
targets",108
0.973365397,"clinically
unexplored",109
0.97316124,"clinically
unexplored",110
0.973013765,"clinically
unexplored",111
0.97276091,"clinically
unexplored",112
0.972759148,"clinically
unexplored",113
0.972598346,"Known IO
targets",114
0.972151911,"clinically
unexplored",115
0.9719748459,"clinically
unexplored",116
0.9717465109,"clinically
unexplored",117
0.971223613,"clinically
unexplored",118
0.97119415,"Known IO
targets",119
0.971154795,"clinically
unexplored",120
0.971143017,"clinically
unexplored",121
0.97038829,"clinically
unexplored",122
0.97035812,"clinically
unexplored",123
0.969933129,"Known IO
targets",124
0.969672907,"clinically
unexplored",125
0.9692320896,"clinically
unexplored",126
0.968963202,"clinically
unexplored",127
0.968421532,"clinically
unexplored",128
0.968410394,"clinically
unexplored",129
0.968261621,"clinically
unexplored",130
0.966973482,"clinically
unexplored",131
0.966750296,"Known IO
targets",132
0.966657754,"Known IO
targets",133
0.9665739839,"Known IO
targets",134
0.966355366,"clinically
unexplored",135
0.9661594615,"clinically
unexplored",136
0.9661035251,"clinically
unexplored",137
0.96568513,"clinically
unexplored",138
0.965329313,"clinically
unexplored",139
0.965081927,"clinically
unexplored",140
0.9647105174,"Known IO
targets",141
0.964342883,"Known IO
targets",142
0.963932446,"clinically
unexplored",143
0.962594313,"Known IO
targets",144
0.9625082873,"Known IO
targets",145
0.962410907,"clinically
unexplored",146
0.962194644,"clinically
unexplored",147
0.96173327,"clinically
unexplored",148
0.961700997,"clinically
unexplored",149
0.960767545,"clinically
unexplored",150
0.959995066,"Known IO
targets",151
0.9597368826,"clinically
unexplored",152
0.9596853629,"clinically
unexplored",153
0.959551392,"clinically
unexplored",154
0.958377537,"clinically
unexplored",155
0.958315838,"Known IO
targets",156
0.958314981,"Known IO
targets",157
0.958312107,"clinically
unexplored",158
0.958135348,"clinically
unexplored",159
0.958113082,"clinically
unexplored",160
0.957970227,"Known IO
targets",161
0.957667129,"clinically
unexplored",162
0.956443956,"clinically
unexplored",163
0.956373791,"clinically
unexplored",164
0.9563606131,"clinically
unexplored",165
0.955556722,"Known IO
targets",166
0.955495238,"clinically
unexplored",167
0.955317572,"Known IO
targets",168
0.9546320566,"clinically
unexplored",169
0.954591865,"clinically
unexplored",170
0.954265687,"clinically
unexplored",171
0.95368751,"Known IO
targets",172
0.953443126,"clinically
unexplored",173
0.952743304,"clinically
unexplored",174
0.952624116,"clinically
unexplored",175
0.952427596,"clinically
unexplored",176
0.9521848784,"Known IO
targets",177
0.952150997,"clinically
unexplored",178
0.952144451,"clinically
unexplored",179
0.952124145,"clinically
unexplored",180
0.952083717,"clinically
unexplored",181
0.952053281,"clinically
unexplored",182
0.951921306,"Known IO
targets",183
0.9518271241,"clinically
unexplored",184
0.9517182689,"clinically
unexplored",185
0.950471716,"Known IO
targets",186
0.950127411,"Known IO
targets",187
0.950111925,"clinically
unexplored",188
0.949868304,"clinically
unexplored",189
0.947568154,"Known IO
targets",190
0.947370628,"Known IO
targets",191
0.946653855,"clinically
unexplored",192
0.946609768,"clinically
unexplored",193
0.946364166,"clinically
unexplored",194
0.9456542826,"clinically
unexplored",195
0.945280836,"clinically
unexplored",196
0.945122215,"clinically
unexplored",197
0.945013486,"clinically
unexplored",198
0.944014267,"clinically
unexplored",199
0.943890464,"Known IO
targets",200
0.943731156,"clinically
unexplored",201
0.943466478,"Known IO
targets",202
0.943457807,"clinically
unexplored",203
0.942351392,"clinically
unexplored",204
0.94224497,"clinically
unexplored",205
0.9422279795,"Known IO
targets",206
0.9420167392,"Known IO
targets",207
0.941837723,"Known IO
targets",208
0.9416370842,"clinically
unexplored",209
0.941617716,"clinically
unexplored",210
0.9410994936,"clinically
unexplored",211
0.940995802,"clinically
unexplored",212
0.940314183,"clinically
unexplored",213
0.939950824,"Known IO
targets",214
0.939837847,"Known IO
targets",215
0.939376654,"clinically
unexplored",216
0.939136083,"clinically
unexplored",217
0.939125122,"clinically
unexplored",218
0.939069287,"clinically
unexplored",219
0.938842519,"clinically
unexplored",220
0.938710701,"clinically
unexplored",221
0.938611339,"clinically
unexplored",222
0.9383050666,"clinically
unexplored",223
0.938110194,"clinically
unexplored",224
0.937936312,"clinically
unexplored",225
0.936883607,"clinically
unexplored",226
0.936431759,"clinically
unexplored",227
0.935810929,"clinically
unexplored",228
0.9353819825,"Known IO
targets",229
0.935327909,"clinically
unexplored",230
0.934620572,"Known IO
targets",231
0.934060085,"clinically
unexplored",232
0.933977824,"clinically
unexplored",233
0.933401998,"clinically
unexplored",234
0.9332617709,"clinically
unexplored",235
0.9326695863,"clinically
unexplored",236
0.932460745,"clinically
unexplored",237
0.9318772573,"clinically
unexplored",238
0.9318603203,"clinically
unexplored",239
0.931629051,"clinically
unexplored",240
0.9309738387,"clinically
unexplored",241
0.93095518,"Known IO
targets",242
